11.48.01.562 [           08056] >> /people
11.48.01.568 [           08056] GET:/people -> PeopleControllerU.TPeopleController
11.48.01.588 [           08056] << /people
11.48.23.097 [           04596] >> /people
11.48.23.097 [           04596] GET:/people -> PeopleControllerU.TPeopleController
11.48.23.105 [           04596] << /people
12.02.51.331 [           06808] >> /people/3
12.02.51.331 [           06808] GET:/people/3 -> PeopleControllerU.TPeopleController
12.02.51.342 [           06808] << /people/3
