10.54.00.129 [           06412] >> /customers
10.54.00.138 [           06412] GET:/customers -> CustomersControllerU.TCustomerController
10.54.07.682 [ EXCEPTION 06412] [EIBNativeException] [FireDAC][Phys][IB]I/O error for file "..\..\..\..\DATA\SAMPLES.IB";Error while trying to open file;Operazione completata.; (Custom message: "")
10.54.07.691 [           06412] << /customers
10.54.33.584 [           05168] >> /customers
10.54.33.598 [           05168] GET:/customers -> CustomersControllerU.TCustomerController
10.54.36.692 [ EXCEPTION 05168] [EIBNativeException] [FireDAC][Phys][IB]Dynamic SQL Error;SQL error code = -204;Table unknown;CUSTOMER (Custom message: "")
10.54.36.694 [           05168] << /customers
11.01.51.674 [           05416] >> /customers
11.01.51.683 [           05416] GET:/customers -> CustomersControllerU.TCustomerController
11.01.54.913 [ EXCEPTION 05416] [EIBNativeException] [FireDAC][Phys][IB]Dynamic SQL Error;SQL error code = -204;Table unknown;PERSON (Custom message: "")
11.01.54.914 [           05416] << /customers
11.05.29.672 [           07828] >> /customers
11.05.29.678 [           07828] << /customers
11.05.38.138 [           04372] >> /people
11.05.38.138 [           04372] GET:/people -> PeopleControllerU.TPeopleController
11.05.40.478 [ EXCEPTION 04372] [EIBNativeException] [FireDAC][Phys][IB]Dynamic SQL Error;SQL error code = -204;Table unknown;PERSON (Custom message: "")
11.05.40.487 [           04372] << /people
11.07.22.764 [           05640] >> /people
11.07.22.772 [           05640] GET:/people -> PeopleControllerU.TPeopleController
11.07.22.854 [           05640] << /people
11.21.08.525 [           06332] >> /people/4
11.21.08.533 [           06332] DELETE:/people/4 -> PeopleControllerU.TPeopleController
11.21.14.132 [ EXCEPTION 06332] [EFDException] [FireDAC][Comp][Clnt]-512. Connection is not defined for [qryPeople]. Possible reason: Connection and ConnectionName property values are both empty (Custom message: "")
11.21.14.142 [           06332] << /people/4
11.21.49.036 [           07372] >> /people/4
11.21.49.043 [           07372] DELETE:/people/4 -> PeopleControllerU.TPeopleController
11.21.57.452 [ EXCEPTION 07372] [EFDException] [FireDAC][Comp][Clnt]-512. Connection is not defined for [qryPeople]. Possible reason: Connection and ConnectionName property values are both empty (Custom message: "")
11.21.57.454 [           07372] << /people/4
11.22.04.910 [           08720] >> /people/4
11.23.42.170 [           07036] >> /people/4
11.23.42.176 [           07036] DELETE:/people/4 -> PeopleControllerU.TPeopleController
11.23.52.856 [ EXCEPTION 07036] [EAssertionFailed] Assertion failure (C:\Program Files (x86)\Embarcadero\RAD Studio\12.0\source\data\firedac\FireDAC.DApt.pas, line 2186) (Custom message: "")
11.23.52.867 [           07036] << /people/4
11.24.01.698 [           08420] >> /people/4
11.24.01.699 [           08420] DELETE:/people/4 -> PeopleControllerU.TPeopleController
11.25.20.889 [           05628] >> /people/4
11.25.20.894 [           05628] DELETE:/people/4 -> PeopleControllerU.TPeopleController
11.27.37.030 [           03716] >> /people/4
11.27.37.037 [           03716] DELETE:/people/4 -> PeopleControllerU.TPeopleController
11.27.40.564 [           03716] << /people/4
11.38.42.671 [           03804] >> /people
11.38.42.679 [           03804] POST:/people -> PeopleControllerU.TPeopleController
11.38.45.154 [ EXCEPTION 03804] [EFDException] [FireDAC][Comp][Clnt]-512. Connection is not defined for [qryPeople]. Possible reason: Connection and ConnectionName property values are both empty (Custom message: "")
11.38.45.156 [           03804] << /people
11.44.13.283 [           04680] >> /people
11.44.13.289 [           04680] GET:/people -> PeopleControllerU.TPeopleController
11.44.13.310 [           04680] << /people
11.44.51.974 [           04448] >> /people/2
11.44.51.975 [           04448] PUT:/people/2 -> PeopleControllerU.TPeopleController
11.45.22.466 [           04448] << /people/2
11.46.50.612 [           08364] >> /people
11.46.50.619 [           08364] GET:/people -> PeopleControllerU.TPeopleController
11.46.50.639 [           08364] << /people
11.49.33.994 [           00648] >> /people
11.49.34.001 [           00648] GET:/people -> PeopleControllerU.TPeopleController
11.49.34.023 [           00648] << /people
11.49.40.034 [           06544] >> /people/1
11.49.40.034 [           06544] GET:/people/1 -> PeopleControllerU.TPeopleController
11.49.42.289 [           06544] << /people/1
11.49.49.572 [           07640] >> /people
11.49.49.572 [           07640] GET:/people -> PeopleControllerU.TPeopleController
11.49.49.583 [           07640] << /people
11.51.12.222 [           02924] >> /people
11.51.12.228 [           02924] GET:/people -> PeopleControllerU.TPeopleController
11.51.12.253 [           02924] << /people
11.51.48.765 [           06164] >> /people/3
